00____0
01____0
02____0
03____0
04____0
10____0
11____0
12____0
13____0
14____0
20____0
21____0
22____2
23____0
24____0
30____0
31____0
32____0
33____0
34____0
40____0
41____0
42____0
43____0
44____0
