cell_type,Medullary,Mesangial,Collecting,Tubule,Progenitor
Medullary,0.0,0.8333333333333334,0.4787938109913676,0.3715416409865897,0.06752238773473175
Mesangial,0.8028427645346161,0.0,0.45934587075710254,0.3556778531229345,0.06395237573915614
Collecting,0.5364618195839107,0.5255454807993863,0.0,0.24789094282683832,0.05042163629849489
Tubule,0.39823639300729213,0.3964629247089517,0.24001699203033325,0.0,0.04118310826001297
Progenitor,0.08766845157934762,0.08664974175974209,0.06045132671484219,0.05060920166541525,0.0
