00____300.8643579030403
01____295.0364244681517
02____150.18886667233883
03____112.74953688407722
04____11.313217472485933
10____288.5107706361373
11____284.3235924228296
12____144.09543354508716
13____108.72959398813248
14____10.857054819560135
20____173.64489917467935
21____169.79382889200608
22____86.77079395085033
23____65.41552559759072
24____6.571290386916558
30____123.26801280910854
31____122.90817910742003
32____61.73193503356528
33____48.23882806106809
34____4.871291221520513
40____16.474125208710987
41____16.4073968977942
42____8.31952532907848
43____6.683276738551907
44____0.6842286002861409
