00____87.0063620130131
01____90.48228775886832
02____102.90287357270503
03____65.41791802763409
04____21.91002052245095
10____83.12525416361854
11____86.62740881362777
12____98.95382566207381
13____62.10752344658242
14____20.699359718155343
20____100.53279802816296
21____103.53229170035495
22____119.34267515359129
23____74.24651240040116
24____24.906155348025425
30____67.45462397161398
31____71.15333950141112
32____81.04741249529431
33____53.442512587974754
34____17.223806114155828
40____29.081953372771412
41____30.41948677053765
42____34.64660816513751
43____23.096741289765035
44____7.593736968436948
