00____0
01____2
02____3
03____0
04____0
10____0
11____2
12____7
13____0
14____0
20____2
21____2
22____26
23____0
24____0
30____0
31____0
32____0
33____0
34____0
40____0
41____0
42____0
43____0
44____0
