cell_type
B cells
T cells
Melanoma cancer cells
Melanoma cancer cells
Melanoma cancer cells
Melanoma cancer cells
T cells
T cells
Melanoma cancer cells
Melanoma cancer cells
T cells
T cells
T cells
T cells
Melanoma cancer cells
T cells
T cells
Melanoma cancer cells
Melanoma cancer cells
Melanoma cancer cells
Melanoma cancer cells
T cells
T cells
T cells
T cells
Melanoma cancer cells
T cells
T cells
Melanoma cancer cells
B cells
Melanoma cancer cells
Melanoma cancer cells
T cells
Melanoma cancer cells
T cells
T cells
T cells
Melanoma cancer cells
Melanoma cancer cells
Melanoma cancer cells
T cells
Melanoma cancer cells
T cells
CAFs 
T cells
Melanoma cancer cells
T cells
Melanoma cancer cells
T cells
T cells
Melanoma cancer cells
T cells
T cells
Melanoma cancer cells
T cells
Melanoma cancer cells
T cells
Melanoma cancer cells
T cells
Melanoma cancer cells
T cells
T cells
T cells
T cells
T cells
T cells
Melanoma cancer cells
T cells
Melanoma cancer cells
T cells
Melanoma cancer cells
B cells
T cells
Melanoma cancer cells
T cells
T cells
T cells
Melanoma cancer cells
T cells
Melanoma cancer cells
T cells
T cells
T cells
Melanoma cancer cells
T cells
Melanoma cancer cells
T cells
B cells
T cells
T cells
T cells
T cells
Melanoma cancer cells
T cells
T cells
T cells
Melanoma cancer cells
Melanoma cancer cells
Melanoma cancer cells
T cells
T cells
Melanoma cancer cells
T cells
Macrophages
Melanoma cancer cells
T cells
T cells
Melanoma cancer cells
Melanoma cancer cells
T cells
T cells
B cells
Melanoma cancer cells
Melanoma cancer cells
T cells
T cells
Melanoma cancer cells
B cells
Melanoma cancer cells
Melanoma cancer cells
Melanoma cancer cells
Melanoma cancer cells
Melanoma cancer cells
T cells
T cells
T cells
T cells
T cells
T cells
T cells
Melanoma cancer cells
T cells
Melanoma cancer cells
T cells
Melanoma cancer cells
T cells
T cells
B cells
T cells
Melanoma cancer cells
T cells
T cells
T cells
Melanoma cancer cells
T cells
T cells
Melanoma cancer cells
T cells
T cells
Melanoma cancer cells
T cells
T cells
Melanoma cancer cells
T cells
Melanoma cancer cells
T cells
B cells
