cell_type
Collecting Duct Principal Cell
Tubule Cell
Mesangial Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Medullary Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Progenitor Cell
Progenitor Cell
Tubule Cell
Tubule Cell
Progenitor Cell
Tubule Cell
Tubule Cell
Progenitor Cell
Tubule Cell
Mesangial Cell
Tubule Cell
Mesangial Cell
Tubule Cell
Tubule Cell
Tubule Cell
Mesangial Cell
Tubule Cell
Progenitor Cell
Progenitor Cell
Mesangial Cell
Tubule Cell
Progenitor Cell
Tubule Cell
Progenitor Cell
Tubule Cell
Progenitor Cell
Progenitor Cell
Progenitor Cell
Medullary Cell
Progenitor Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Mesangial Cell
Tubule Cell
Tubule Cell
Medullary Cell
Tubule Cell
Progenitor Cell
Progenitor Cell
Tubule Cell
Progenitor Cell
Progenitor Cell
Tubule Cell
Tubule Cell
Medullary Cell
Progenitor Cell
Tubule Cell
Tubule Cell
Mesangial Cell
Tubule Cell
Tubule Cell
Medullary Cell
Progenitor Cell
Progenitor Cell
Progenitor Cell
Progenitor Cell
Tubule Cell
Tubule Cell
Mesangial Cell
Tubule Cell
Tubule Cell
Tubule Cell
Progenitor Cell
Progenitor Cell
Progenitor Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Progenitor Cell
Collecting Duct Principal Cell
Progenitor Cell
Tubule Cell
Mesangial Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Progenitor Cell
Collecting Duct Principal Cell
Tubule Cell
Medullary Cell
Progenitor Cell
Progenitor Cell
Progenitor Cell
Tubule Cell
Mesangial Cell
Tubule Cell
Tubule Cell
Tubule Cell
Mesangial Cell
Tubule Cell
Medullary Cell
Tubule Cell
Progenitor Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Progenitor Cell
Tubule Cell
Tubule Cell
Medullary Cell
Progenitor Cell
Tubule Cell
Tubule Cell
Medullary Cell
Tubule Cell
Progenitor Cell
Medullary Cell
Progenitor Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Mesangial Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Medullary Cell
Progenitor Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Tubule Cell
Progenitor Cell
Tubule Cell
