,end_0,end_1,end_2,end_3,end_4,end_5,end_6
start_0,900.12862716,831.35735899,831.36163342,899.91062,903.2815400999999,860.72461993,809.48973892
start_1,785.39812782,774.03714875,774.03794288,773.34544565,836.2619325200001,769.047451,771.3250715
start_2,793.24561089,779.84798385,779.8487818000001,781.04711163,842.56294496,776.67404147,777.08924411
start_3,765.10600834,718.53582882,718.5366414299999,758.35716678,764.96321367,752.9385278100001,716.2060840500001
start_4,817.2120509599999,751.21595682,751.21700539,824.30079131,833.63584612,776.1027073800001,747.28017813
start_5,916.19213429,842.19132283,842.1920687400001,929.0950096900001,925.09268318,883.9225633899999,839.4116189599999
start_6,702.4868073,673.5836704799999,673.58444788,711.34953629,719.90008132,697.2599236400001,670.8497286500001
