00____8
01____0
02____0
03____8
04____3
05____9
06____1
10____0
11____0
12____0
13____0
14____0
15____0
16____0
20____1
21____0
22____0
23____2
24____2
25____4
26____0
30____10
31____0
32____9
33____28
34____22
35____27
36____7
40____26
41____0
42____3
43____40
44____55
45____66
46____5
50____35
51____0
52____4
53____48
54____63
55____80
56____7
60____3
61____0
62____2
63____8
64____9
65____12
66____0
