C9orf152,0.00878594249201278,0.022243713733075435,0.003883495145631068,0.9206349206349206,0.0,0.0,0.019230769230769232
RPS11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ELMO2,0.9992012779552716,0.9811411992263056,0.996116504854369,1.0,0.9538461538461539,1.0,1.0
CREB3L1,0.001597444089456869,0.022243713733075435,0.0,0.007936507936507936,0.015384615384615385,1.0,0.0
PNMA1,0.9992012779552716,0.789651837524178,0.8796116504854369,0.9206349206349206,0.9692307692307692,1.0,0.34615384615384615
MMP2,0.7731629392971247,0.02804642166344294,0.6466019417475728,0.9841269841269841,1.0,1.0,0.0
TMEM216,0.9369009584664537,0.8254352030947776,0.9475728155339805,0.9841269841269841,0.9846153846153847,0.9836065573770492,0.07692307692307693
TRAF3IP2-AS1,0.9992012779552716,1.0,1.0,1.0,1.0,1.0,1.0
LRRC37A5P,0.0007987220447284345,0.019342359767891684,0.0,0.015873015873015872,0.0,0.0,0.8846153846153846
LOC653712,0.43690095846645366,0.6528046421663443,0.9844660194174757,0.873015873015873,0.38461538461538464,0.9180327868852459,1.0
C10orf90,0.9976038338658147,0.06673114119922631,0.001941747572815534,0.023809523809523808,0.015384615384615385,0.01639344262295082,0.0
ZHX3,0.9984025559105432,0.9980657640232108,1.0,1.0,1.0,1.0,1.0
ERCC5,0.9952076677316294,0.9782398452611218,1.0,0.9841269841269841,0.9538461538461539,1.0,0.9807692307692307
GPR98,0.3586261980830671,0.08945841392649903,0.6058252427184466,0.7698412698412699,0.0,0.04918032786885246,0.0
RXFP3,0.007987220447284345,0.0019342359767891683,0.0,0.007936507936507936,0.0,0.0,0.0
CTAGE10P,0.029552715654952075,0.035783365570599614,0.2,0.007936507936507936,0.0,0.0,0.0
APBB2,0.9976038338658147,0.9850096711798839,0.996116504854369,1.0,1.0,1.0,1.0
KLHL13,0.1829073482428115,0.02756286266924565,0.009708737864077669,0.6825396825396826,0.015384615384615385,1.0,0.36538461538461536
KRTAP10-8,0.0,0.0014506769825918763,0.0,0.9047619047619048,0.0,0.01639344262295082,0.0
PDCL3,0.9992012779552716,0.9197292069632496,0.9902912621359223,0.9920634920634921,0.9846153846153847,1.0,1.0
AEN,1.0,0.8539651837524178,0.9922330097087378,1.0,0.9846153846153847,1.0,0.9423076923076923
FRG2,0.1900958466453674,0.6537717601547389,0.9922330097087378,0.9920634920634921,0.9846153846153847,0.819672131147541,0.34615384615384615
DECR1,0.9992012779552716,0.9970986460348162,1.0,1.0,1.0,1.0,1.0
SALL1,0.02156549520766773,0.029497098646034815,0.009708737864077669,0.0,0.0,0.06557377049180328,0.0
GGT3P,0.06869009584664537,0.08945841392649903,0.003883495145631068,0.015873015873015872,0.0,0.0,0.0
CADM4,0.49121405750798725,0.012572533849129593,0.001941747572815534,0.031746031746031744,0.9692307692307692,0.0,0.019230769230769232
RPS18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SLC10A7,0.9760383386581469,0.632495164410058,0.0970873786407767,0.9920634920634921,0.9846153846153847,0.9672131147540983,0.19230769230769232
CFHR5,0.019968051118210862,0.05754352030947776,0.001941747572815534,0.007936507936507936,0.0,0.0,0.0
OR2K2,0.0023961661341853034,0.017891682785299807,0.001941747572815534,0.0,0.0,0.0,0.0
BRIX1,0.9992012779552716,0.9487427466150871,1.0,0.9920634920634921,0.9846153846153847,1.0,0.9230769230769231
MIR378F,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMAN1,0.9992012779552716,0.9898452611218569,0.7533980582524272,1.0,1.0,1.0,0.7884615384615384
CHD8,1.0,0.991779497098646,1.0,1.0,0.9846153846153847,1.0,1.0
SUMO1,1.0,0.9990328820116054,1.0,1.0,1.0,1.0,1.0
MIR941-2,0.0,0.00048355899419729207,0.0,0.0,0.0,0.0,0.0
GP1BA,0.21964856230031948,0.02562862669245648,0.1378640776699029,0.031746031746031744,0.8923076923076924,0.19672131147540983,0.0
MIR1233-2,0.0,0.00048355899419729207,0.0,0.0,0.0,0.0,0.0
BSN-AS2,0.9992012779552716,1.0,1.0,1.0,1.0,1.0,1.0
BOLA3-AS1,0.9984025559105432,1.0,1.0,1.0,1.0,1.0,1.0
UQCR11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DDB1,1.0,0.995164410058027,1.0,1.0,1.0,1.0,1.0
MYO9B,0.9992012779552716,0.980174081237911,1.0,1.0,0.9846153846153847,1.0,1.0
MMP7,0.003993610223642172,0.059961315280464215,0.001941747572815534,0.007936507936507936,0.0,0.0,0.0
MIR1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRNKL1,0.9992012779552716,0.8210831721470019,0.9980582524271845,0.9920634920634921,0.9846153846153847,0.9836065573770492,1.0
MIR618,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.0
XAB2,0.9984025559105432,0.9308510638297872,0.9320388349514563,1.0,1.0,1.0,0.11538461538461539
RTN1,0.28594249201277955,0.01644100580270793,0.5184466019417475,0.9841269841269841,0.0,0.01639344262295082,0.0
KLHL14,0.1253993610223642,0.0551257253384913,0.9922330097087378,0.007936507936507936,0.6461538461538462,0.0,0.019230769230769232
ADAM21P1,0.25,0.024177949709864602,0.003883495145631068,0.0,0.0,0.0,0.0
TBX10,0.03035143769968051,0.039651837524177946,0.0,0.0,0.0,0.0,0.0
ZBTB12,0.19728434504792333,0.16489361702127658,0.009708737864077669,0.015873015873015872,0.015384615384615385,0.04918032786885246,0.019230769230769232
UTY,1.0,1.0,1.0,1.0,1.0,0.9836065573770492,1.0
