Ligand_symbol,Receptor_symbol,interaction_name,pathway_name,interaction_name_2
COL4A4,ITGA9_ITGB1,COL4A4_ITGA9_ITGB1,COLLAGEN,COL4A4 - (ITGA9+ITGB1)
COL4A5,ITGA9_ITGB1,COL4A5_ITGA9_ITGB1,COLLAGEN,COL4A5 - (ITGA9+ITGB1)
COL4A6,ITGA9_ITGB1,COL4A6_ITGA9_ITGB1,COLLAGEN,COL4A6 - (ITGA9+ITGB1)
COL6A1,ITGA9_ITGB1,COL6A1_ITGA9_ITGB1,COLLAGEN,COL6A1 - (ITGA9+ITGB1)
COL6A2,ITGA9_ITGB1,COL6A2_ITGA9_ITGB1,COLLAGEN,COL6A2 - (ITGA9+ITGB1)
COL6A3,ITGA9_ITGB1,COL6A3_ITGA9_ITGB1,COLLAGEN,COL6A3 - (ITGA9+ITGB1)
COL6A5,ITGA9_ITGB1,COL6A5_ITGA9_ITGB1,COLLAGEN,COL6A5 - (ITGA9+ITGB1)
COL6A6,ITGA9_ITGB1,COL6A6_ITGA9_ITGB1,COLLAGEN,COL6A6 - (ITGA9+ITGB1)
COL9A1,ITGA9_ITGB1,COL9A1_ITGA9_ITGB1,COLLAGEN,COL9A1 - (ITGA9+ITGB1)
COL9A2,ITGA9_ITGB1,COL9A2_ITGA9_ITGB1,COLLAGEN,COL9A2 - (ITGA9+ITGB1)
COL9A3,ITGA9_ITGB1,COL9A3_ITGA9_ITGB1,COLLAGEN,COL9A3 - (ITGA9+ITGB1)
LAMA1,ITGA9_ITGB1,LAMA1_ITGA9_ITGB1,LAMININ,LAMA1 - (ITGA9+ITGB1)
LAMA2,ITGA9_ITGB1,LAMA2_ITGA9_ITGB1,LAMININ,LAMA2 - (ITGA9+ITGB1)
LAMA3,ITGA9_ITGB1,LAMA3_ITGA9_ITGB1,LAMININ,LAMA3 - (ITGA9+ITGB1)
LAMA4,ITGA9_ITGB1,LAMA4_ITGA9_ITGB1,LAMININ,LAMA4 - (ITGA9+ITGB1)
LAMA5,ITGA9_ITGB1,LAMA5_ITGA9_ITGB1,LAMININ,LAMA5 - (ITGA9+ITGB1)
LAMB1,ITGA9_ITGB1,LAMB1_ITGA9_ITGB1,LAMININ,LAMB1 - (ITGA9+ITGB1)
LAMB2,ITGA9_ITGB1,LAMB2_ITGA9_ITGB1,LAMININ,LAMB2 - (ITGA9+ITGB1)
LAMB3,ITGA9_ITGB1,LAMB3_ITGA9_ITGB1,LAMININ,LAMB3 - (ITGA9+ITGB1)
LAMC1,ITGA9_ITGB1,LAMC1_ITGA9_ITGB1,LAMININ,LAMC1 - (ITGA9+ITGB1)
LAMC2,ITGA9_ITGB1,LAMC2_ITGA9_ITGB1,LAMININ,LAMC2 - (ITGA9+ITGB1)
LAMC3,ITGA9_ITGB1,LAMC3_ITGA9_ITGB1,LAMININ,LAMC3 - (ITGA9+ITGB1)
COL1A1,ITGA10_ITGB1,COL1A1_ITGA10_ITGB1,COLLAGEN,COL1A1 - (ITGA10+ITGB1)
COL1A2,ITGA10_ITGB1,COL1A2_ITGA10_ITGB1,COLLAGEN,COL1A2 - (ITGA10+ITGB1)
COL2A1,ITGA10_ITGB1,COL2A1_ITGA10_ITGB1,COLLAGEN,COL2A1 - (ITGA10+ITGB1)
COL4A1,ITGA10_ITGB1,COL4A1_ITGA10_ITGB1,COLLAGEN,COL4A1 - (ITGA10+ITGB1)
COL4A2,ITGA10_ITGB1,COL4A2_ITGA10_ITGB1,COLLAGEN,COL4A2 - (ITGA10+ITGB1)
COL4A3,ITGA10_ITGB1,COL4A3_ITGA10_ITGB1,COLLAGEN,COL4A3 - (ITGA10+ITGB1)
COL4A4,ITGA10_ITGB1,COL4A4_ITGA10_ITGB1,COLLAGEN,COL4A4 - (ITGA10+ITGB1)
COL4A5,ITGA10_ITGB1,COL4A5_ITGA10_ITGB1,COLLAGEN,COL4A5 - (ITGA10+ITGB1)
COL4A6,ITGA10_ITGB1,COL4A6_ITGA10_ITGB1,COLLAGEN,COL4A6 - (ITGA10+ITGB1)
COL6A1,ITGA10_ITGB1,COL6A1_ITGA10_ITGB1,COLLAGEN,COL6A1 - (ITGA10+ITGB1)
COL6A2,ITGA10_ITGB1,COL6A2_ITGA10_ITGB1,COLLAGEN,COL6A2 - (ITGA10+ITGB1)
COL6A3,ITGA10_ITGB1,COL6A3_ITGA10_ITGB1,COLLAGEN,COL6A3 - (ITGA10+ITGB1)
COL6A5,ITGA10_ITGB1,COL6A5_ITGA10_ITGB1,COLLAGEN,COL6A5 - (ITGA10+ITGB1)
COL6A6,ITGA10_ITGB1,COL6A6_ITGA10_ITGB1,COLLAGEN,COL6A6 - (ITGA10+ITGB1)
COL9A1,ITGA10_ITGB1,COL9A1_ITGA10_ITGB1,COLLAGEN,COL9A1 - (ITGA10+ITGB1)
COL9A2,ITGA10_ITGB1,COL9A2_ITGA10_ITGB1,COLLAGEN,COL9A2 - (ITGA10+ITGB1)
COL9A3,ITGA10_ITGB1,COL9A3_ITGA10_ITGB1,COLLAGEN,COL9A3 - (ITGA10+ITGB1)
COL1A1,ITGA11_ITGB1,COL1A1_ITGA11_ITGB1,COLLAGEN,COL1A1 - (ITGA11+ITGB1)
COL1A2,ITGA11_ITGB1,COL1A2_ITGA11_ITGB1,COLLAGEN,COL1A2 - (ITGA11+ITGB1)
COL2A1,ITGA11_ITGB1,COL2A1_ITGA11_ITGB1,COLLAGEN,COL2A1 - (ITGA11+ITGB1)
COL4A1,ITGA11_ITGB1,COL4A1_ITGA11_ITGB1,COLLAGEN,COL4A1 - (ITGA11+ITGB1)
COL4A2,ITGA11_ITGB1,COL4A2_ITGA11_ITGB1,COLLAGEN,COL4A2 - (ITGA11+ITGB1)
COL4A3,ITGA11_ITGB1,COL4A3_ITGA11_ITGB1,COLLAGEN,COL4A3 - (ITGA11+ITGB1)
COL4A4,ITGA11_ITGB1,COL4A4_ITGA11_ITGB1,COLLAGEN,COL4A4 - (ITGA11+ITGB1)
COL4A5,ITGA11_ITGB1,COL4A5_ITGA11_ITGB1,COLLAGEN,COL4A5 - (ITGA11+ITGB1)
COL4A6,ITGA11_ITGB1,COL4A6_ITGA11_ITGB1,COLLAGEN,COL4A6 - (ITGA11+ITGB1)
COL6A1,ITGA11_ITGB1,COL6A1_ITGA11_ITGB1,COLLAGEN,COL6A1 - (ITGA11+ITGB1)
COL6A2,ITGA11_ITGB1,COL6A2_ITGA11_ITGB1,COLLAGEN,COL6A2 - (ITGA11+ITGB1)
COL6A3,ITGA11_ITGB1,COL6A3_ITGA11_ITGB1,COLLAGEN,COL6A3 - (ITGA11+ITGB1)
COL6A5,ITGA11_ITGB1,COL6A5_ITGA11_ITGB1,COLLAGEN,COL6A5 - (ITGA11+ITGB1)
COL6A6,ITGA11_ITGB1,COL6A6_ITGA11_ITGB1,COLLAGEN,COL6A6 - (ITGA11+ITGB1)
COL9A1,ITGA11_ITGB1,COL9A1_ITGA11_ITGB1,COLLAGEN,COL9A1 - (ITGA11+ITGB1)
COL9A2,ITGA11_ITGB1,COL9A2_ITGA11_ITGB1,COLLAGEN,COL9A2 - (ITGA11+ITGB1)
COL9A3,ITGA11_ITGB1,COL9A3_ITGA11_ITGB1,COLLAGEN,COL9A3 - (ITGA11+ITGB1)
FN1,ITGAV_ITGB1,FN1_ITGAV_ITGB1,FN1,FN1 - (ITGAV+ITGB1)
VTN,ITGAV_ITGB1,VTN_ITGAV_ITGB1,VTN,VTN - (ITGAV+ITGB1)
DSPP,ITGAV_ITGB1,DSPP_ITGAV_ITGB1,DSPP,DSPP - (ITGAV+ITGB1)
FN1,ITGA4_ITGB7,FN1_ITGA4_ITGB7,FN1,FN1 - (ITGA4+ITGB7)
FN1,ITGAV_ITGB3,FN1_ITGAV_ITGB3,FN1,FN1 - (ITGAV+ITGB3)
VTN,ITGAV_ITGB3,VTN_ITGAV_ITGB3,VTN,VTN - (ITGAV+ITGB3)
VWF,ITGAV_ITGB3,VWF_ITGAV_ITGB3,VWF,VWF - (ITGAV+ITGB3)
TNC,ITGAV_ITGB3,TNC_ITGAV_ITGB3,TENASCIN,TNC - (ITGAV+ITGB3)
TNR,ITGAV_ITGB3,TNR_ITGAV_ITGB3,TENASCIN,TNR - (ITGAV+ITGB3)
TNN,ITGAV_ITGB3,TNN_ITGAV_ITGB3,TENASCIN,TNN - (ITGAV+ITGB3)
TNXB,ITGAV_ITGB3,TNXB_ITGAV_ITGB3,TENASCIN,TNXB - (ITGAV+ITGB3)
IBSP,ITGAV_ITGB3,IBSP_ITGAV_ITGB3,BSP,IBSP - (ITGAV+ITGB3)
THBS1,ITGAV_ITGB3,THBS1_ITGAV_ITGB3,THBS,THBS1 - (ITGAV+ITGB3)
THBS2,ITGAV_ITGB3,THBS2_ITGAV_ITGB3,THBS,THBS2 - (ITGAV+ITGB3)
THBS3,ITGAV_ITGB3,THBS3_ITGAV_ITGB3,THBS,THBS3 - (ITGAV+ITGB3)
THBS4,ITGAV_ITGB3,THBS4_ITGAV_ITGB3,THBS,THBS4 - (ITGAV+ITGB3)
COMP,ITGAV_ITGB3,COMP_ITGAV_ITGB3,THBS,COMP - (ITGAV+ITGB3)
DMP1,ITGAV_ITGB3,DMP1_ITGAV_ITGB3,DMP1,DMP1 - (ITGAV+ITGB3)
FN1,ITGA2B_ITGB3,FN1_ITGA2B_ITGB3,FN1,FN1 - (ITGA2B+ITGB3)
VTN,ITGA2B_ITGB3,VTN_ITGA2B_ITGB3,VTN,VTN - (ITGA2B+ITGB3)
VWF,ITGA2B_ITGB3,VWF_ITGA2B_ITGB3,VWF,VWF - (ITGA2B+ITGB3)
TNC,ITGA2B_ITGB3,TNC_ITGA2B_ITGB3,TENASCIN,TNC - (ITGA2B+ITGB3)
TNR,ITGA2B_ITGB3,TNR_ITGA2B_ITGB3,TENASCIN,TNR - (ITGA2B+ITGB3)
TNN,ITGA2B_ITGB3,TNN_ITGA2B_ITGB3,TENASCIN,TNN - (ITGA2B+ITGB3)
TNXB,ITGA2B_ITGB3,TNXB_ITGA2B_ITGB3,TENASCIN,TNXB - (ITGA2B+ITGB3)
VTN,ITGAV_ITGB5,VTN_ITGAV_ITGB5,VTN,VTN - (ITGAV+ITGB5)
IBSP,ITGAV_ITGB5,IBSP_ITGAV_ITGB5,BSP,IBSP - (ITGAV+ITGB5)
TNC,ITGAV_ITGB6,TNC_ITGAV_ITGB6,TENASCIN,TNC - (ITGAV+ITGB6)
TNR,ITGAV_ITGB6,TNR_ITGAV_ITGB6,TENASCIN,TNR - (ITGAV+ITGB6)
TNN,ITGAV_ITGB6,TNN_ITGAV_ITGB6,TENASCIN,TNN - (ITGAV+ITGB6)
TNXB,ITGAV_ITGB6,TNXB_ITGAV_ITGB6,TENASCIN,TNXB - (ITGAV+ITGB6)
FN1,ITGAV_ITGB6,FN1_ITGAV_ITGB6,FN1,FN1 - (ITGAV+ITGB6)
DSPP,ITGAV_ITGB6,DSPP_ITGAV_ITGB6,DSPP,DSPP - (ITGAV+ITGB6)
VTN,ITGAV_ITGB8,VTN_ITGAV_ITGB8,VTN,VTN - (ITGAV+ITGB8)
FN1,ITGAV_ITGB8,FN1_ITGAV_ITGB8,FN1,FN1 - (ITGAV+ITGB8)
LAMA1,ITGAV_ITGB8,LAMA1_ITGAV_ITGB8,LAMININ,LAMA1 - (ITGAV+ITGB8)
LAMA2,ITGAV_ITGB8,LAMA2_ITGAV_ITGB8,LAMININ,LAMA2 - (ITGAV+ITGB8)
